Original name of the product,Product category,amount,unit price,currency,price including taxes,tax rate (%),country,date,source,tender ref,note,description_EN,unit_price_eur,spent
Lizenzaufstockung Forcepoint Triton AP-Email (2020-0.237.535),OTHER: NON MEDICAL,100.0,17.8806,EUR,,,Austria,2020-03-27,LFUW.csv,AT0403,Lizenzen,License upgrade Forcepoint Triton AP-Email (2020-0.237.535),17.8806,1788.0600000000002
Programmierung TelefonSW (2020-0.213.281),OTHER: NON MEDICAL,5.0,117.18,EUR,,,Austria,2020-04-06,LFUW.csv,AT0404,Lizenzen,Programming telephone SW (2020-0.213.281),117.18,585.9000000000001
ZOOM Webinar (2020-0.313.795),OTHER: NON MEDICAL,1.0,379.0,EUR,,,Austria,2020-05-22,LFUW.csv,AT0405,Upgrade,ZOOM Webinar (2020-0.313.795),379.0,379.0
Logitech Conference Cam Connect (2020-0.272.865),OTHER: NON MEDICAL,1.0,499.09,EUR,,,Austria,2020-05-06,LFUW.csv,AT0406,Stück,Logitech Conference Cam Connect (2020-0.272.865),499.09,499.09
Tool Zoom (2020-0.189.279) (3 invoices),OTHER: NON MEDICAL,20.0,192.1685,EUR,,,Austria,,LFUW.csv,AT0407,Lizenzen,Tool Zoom (2020-0.189.279) (3 invoices),192.1685,3843.37
Bluetooth Freisprecheinrichtungen (2020-02.244.638),OTHER: NON MEDICAL,1.0,149.65,EUR,,,Austria,2020-04-24,LFUW.csv,AT0408,Stück,Bluetooth hands-free kits (2020-02.244.638),149.65,149.65
Logitech C930e Webcams ,OTHER: NON MEDICAL,40.0,136.8,EUR,,,Austria,2020-05-14,LFUW.csv,AT0409,Stück,Logitech C930e Webcams ,136.8,5472.0
cisco-webex,OTHER: NON MEDICAL,1.0,249.12,EUR,,,Austria,2020-05-20,LFUW.csv,AT0410,Stück,cisco-webex,249.12,249.12
Dell Laptops,OTHER: NON MEDICAL,5.0,58800.0,EUR,,,Austria,,tabula-KKDuS.csv,AT0763,Stück,Dell Laptops,58800.0,294000.0
Desinfektionsmittelspender für Arsenal,DISINFECTANTS,1.0,15480.0,EUR,,,Austria,2020-04-27,tabula-KKDuS.csv,AT0764,Stück,Disinfect on donation for Arsenal,15480.0,15480.0
Desinfektionsmittelspender für Mauerbach,DISINFECTANTS,1.0,15480.0,EUR,,,Austria,2020-04-27,tabula-KKDuS.csv,AT0765,Stück,Disinfec onsmielspend he for Mauerbach,15480.0,15480.0
Flächendesinfektionsmiettel für Mauerbach,DISINFECTANTS,12.0,1438.833333333333,EUR,,,Austria,2020-05-19,tabula-KKDuS.csv,AT0766,Flasche n à 500 ml,Surface disinfection for Mauerbach,1438.833333333333,17265.999999999996
Flächendesinfektionsmittel,DISINFECTANTS,6.0,649.3333333333334,EUR,,,Austria,2020-08-04,tabula-KKDuS.csv,AT0767,"Flasche n à 0,75 ml",Surface disinfection on,649.3333333333334,3896.0
Flächendesinfektionsmittel Nachfüllkanister für Mauerbach,DISINFECTANTS,2.0,7722.0,EUR,,,Austria,2020-05-19,tabula-KKDuS.csv,AT0768,Kanister a 1000 ml,Surface disinfectant refill canister for Mauerbach,7722.0,15444.0
Gesichtsschutzschilder,FACE SHIELD,60.0,599.0,EUR,,,Austria,2020-08-05,tabula-KKDuS.csv,AT0769,Stück,Face shields,599.0,35940.0
Gesichtsvisiere,FACE SHIELD,150.0,2220.0,EUR,,,Austria,2020-04-23,tabula-KKDuS.csv,AT0770,Stück,Facial visors,2220.0,333000.0
Handdesinfektionsmittel,HAND SANITIZER,24.0,519.2083333333334,EUR,,,Austria,2020-08-04,tabula-KKDuS.csv,AT0771,Flasche n à 500 ml,Hand disinfectant,519.2083333333334,12461.0
Handdesinfektionsmittel,HAND SANITIZER,60.0,744.0,EUR,,,Austria,2020-04-15,tabula-KKDuS.csv,AT0772,Flasche n à 500 ml,Hand disinfectant,744.0,44640.0
Handdesinfektionsmittel,HAND SANITIZER,24.0,948.0,EUR,,,Austria,2020-04-27,tabula-KKDuS.csv,AT0773,Flasche n à 500 ml,Hand disinfectant,948.0,22752.0
Handdesinfektionsmittel,HAND SANITIZER,36.0,948.0,EUR,,,Austria,2020-08-05,tabula-KKDuS.csv,AT0774,Flasche n à 500 ml,Hand disinfectant,948.0,34128.0
Handdesinfektionsmittel für Mauerbach,HAND SANITIZER,10.0,804.0,EUR,,,Austria,2020-05-20,tabula-KKDuS.csv,AT0775,Flasche n à 500 ml,Hand disinfect onsmiel for Mauerbach,804.0,8040.0
Handdesinfektionsmittel für Mauerbach (für Besucher),HAND SANITIZER,8.0,1618.75,EUR,,,Austria,2020-05-19,tabula-KKDuS.csv,AT0776,Flasche n à 500 ml,Hand disinfect onsmiel for Mauerbach (for visitors),1618.75,12950.0
Handdesinfektionsmittel für Mauerbach Nachfüllkanister (für Besucher),HAND SANITIZER,2.0,11999.0,EUR,,,Austria,2020-05-20,tabula-KKDuS.csv,AT0777,Kanister,Hand disinfect onsmiel for Mauerbach refill canister (for visitors),11999.0,23998.0
Händedesinfektionsmittel,HAND SANITIZER,60.0,749.6666666666665,EUR,,,Austria,2020-03-04,tabula-KKDuS.csv,AT0778,Flasche n à 500 ml,Hand disinfection onsmiel,749.6666666666665,44979.99999999999
HP Business Top Load- Tasche,OTHER: NON MEDICAL,10.0,1660.8,EUR,,,Austria,2020-04-17,tabula-KKDuS.csv,AT0779,Stück,HP Business Top Load bag,1660.8,16608.0
HP Elite Book 840 G6,OTHER: NON MEDICAL,10.0,117626.4,EUR,,,Austria,2020-04-17,tabula-KKDuS.csv,AT0780,Stück,HP Elite Book 840 G6,117626.4,1176264.0
MNS-Masken,MASK (UNSPECIFIED),100.0,114.26,EUR,,,Austria,2020-12-04,tabula-KKDuS.csv,AT0781,Stück,MNS-Masken,114.26,11426.0
MNS-Masken,MASK (UNSPECIFIED),400.0,137.1125,EUR,,,Austria,2020-04-21,tabula-KKDuS.csv,AT0782,Stück,MNS-Masken,137.1125,54845.00000000001
MNS-Masken (Baumwolle),MASK (UNSPECIFIED),400.0,540.0,EUR,,,Austria,2020-04-28,tabula-KKDuS.csv,AT0783,Stück,MNS masks (cotton),540.0,216000.0
Mundschutzmasken FFP2,FFP2,300.0,902.31,EUR,,,Austria,2020-07-04,tabula-KKDuS.csv,AT0784,Stück,Face masks FFP2,902.31,270693.0
Mundschutzmasken FFP2,FFP2,150.0,590.0,EUR,,,Austria,2020-04-27,tabula-KKDuS.csv,AT0785,Stück,Face masks FFP2,590.0,88500.0
Pumpspender,OTHER: NON MEDICAL,60.0,81.9,EUR,,,Austria,2020-04-27,tabula-KKDuS.csv,AT0786,Stück,Pumpspender,81.9,4914.0
Sprühkopfflaschen,OTHER: NON MEDICAL,12.0,456.0,EUR,,,Austria,2020-11-05,tabula-KKDuS.csv,AT0787,Stück,Spray head bottles,456.0,5472.0
Spuckschutz f. Mauerbach,OTHER: NON MEDICAL,1.0,12600.0,EUR,,,Austria,2020-05-19,tabula-KKDuS.csv,AT0788,Stück,Spuckschutz f. Mauerbach,12600.0,12600.0
Studie zur Ökonomischen Bedeutung der Kulturwirtschaund ihrer Betroffenheit in der COVID-19-Krise,OTHER: NON MEDICAL,1.0,2698500.0,EUR,,,Austria,2020-04-16,tabula-KKDuS.csv,AT0789,,Study on the economic importance of the cultural economy and its impact in the COVID-19 crisis,2698500.0,2698500.0
zusätzliche Desinfektionsmittelspender f. Mauerbach,DISINFECTANTS,4.0,4845.5,EUR,,,Austria,2020-05-19,tabula-KKDuS.csv,AT0790,Stück,additional disinfectant dispenser he f. Mauerbach,4845.5,19382.0
FFP2 Masken ohne Ventil,FFP2,260520.0,0.96,EUR,unknown,,Austria,2020-03-17,Red Cross FOIA,AT0099,,FFP2 masks without valve,0.96,250099.19999999998
FFP2 Masken ohne Ventil 240/Karton,FFP2,8400.0,0.96,EUR,unknown,,Austria,2020-03-19,Red Cross FOIA,AT0100,,FFP2 masks without valve 240 / box,0.96,8064.0
FFP2 Masken ohne Ventil,FFP2,400400.0,0.96,EUR,unknown,,Austria,2020-03-19,Red Cross FOIA,AT0101,,FFP2 masks without valve,0.96,384384.0
FFP2 Masken ohne Ventil,FFP2,100320.0,0.96425,EUR,unknown,,Austria,2020-03-19,Red Cross FOIA,AT0102,,FFP2 masks without valve,0.96425,96733.56000000001
FFP2 Masken ohne Ventil,FFP2,264440.0,0.96425,EUR,unknown,,Austria,2020-03-19,Red Cross FOIA,AT0103,,FFP2 masks without valve,0.96425,254986.27000000002
PROTECTIVE COVERALL L,DISPOSABLE COVERALL,5000.0,32.4394,EUR,unknown,,Austria,2020-04-03,Red Cross FOIA,AT0104,,PROTECTIVE COVERALL L,32.4394,162197.0
PROTECTIVE COVERALL XL,DISPOSABLE COVERALL,5000.0,32.4394,EUR,unknown,,Austria,2020-04-03,Red Cross FOIA,AT0105,,PROTECTIVE COVERALL XL,32.4394,162197.0
Schutzoveralls Typ 5/6,,5000.0,7.56175,EUR,unknown,,Austria,2020-03-19,Red Cross FOIA,AT0106,,Protective overalls type 5/6,7.56175,37808.75
FFP2 Masken mit Ventil,FFP2,6000.0,5.8058,EUR,unknown,,Austria,2020-03-25,Red Cross FOIA,AT0107,,FFP2 masks with valve,5.8058,34834.799999999996
Kontaktloser Fieberthermometer,INFRARED THERMOMETER,290.0,224.315,EUR,unknown,,Austria,2020-04-23,Red Cross FOIA,AT0108,,Contactless clinical thermometer,224.315,65051.35
Kontaktloser Fieberthermometer,INFRARED THERMOMETER,10.0,224.315,EUR,unknown,,Austria,2020-04-23,Red Cross FOIA,AT0109,,Contactless clinical thermometer,224.315,2243.15
Kontaktloser Fieberthermometer,INFRARED THERMOMETER,700.0,224.315,EUR,unknown,,Austria,2020-04-23,Red Cross FOIA,AT0110,,Contactless clinical thermometer,224.315,157020.5
Untersuchungshandschuhe,MEDICAL GLOVES,2193615.0,0.039585,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0111,,Examination gloves,0.039585,86834.249775
MELSEPT SF KANISTER 5LT,,750.0,3.451,EUR,unknown,,Austria,2020-03-26,Red Cross FOIA,AT0112,,MELSEPT SF CAN 5LT,3.451,2588.25
Untersuchungshandschuhe,MEDICAL GLOVES,1815885.0,0.039585,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0113,,Examination gloves,0.039585,71881.807725
Instrumentendesinfektion Helipur 5L,,600.0,6.1955599999999995,EUR,unknown,,Austria,2020-03-26,Red Cross FOIA,AT0114,,Instrumentendesinfektion Helipur 5L,6.1955599999999995,3717.336
CHLORHEXIDIN 2% ALKOHOLISCH SPRAYFL. 250ML,,960.0,12.585999999999999,EUR,unknown,,Austria,2020-04-03,Red Cross FOIA,AT0115,,CHLORHEXIDINE 2% ALCOHOLIC SPRAYFL. 250ML,12.585999999999999,12082.559999999998
CHLORHEXIDIN 2% ALKOHOLISCH SPRAYFL. 250ML,,40.0,12.585999999999999,EUR,unknown,,Austria,2020-04-03,Red Cross FOIA,AT0116,,CHLORHEXIDINE 2% ALCOHOLIC SPRAYFL. 250ML,12.585999999999999,503.43999999999994
MELISEPTOL RAPID KANISTER 5LT,,750.0,4.0397,EUR,unknown,,Austria,2020-03-26,Red Cross FOIA,AT0117,,MELISEPTOL RAPID CANISTER 5LT,4.0397,3029.775
KN95 Masken GB19083-2010 medical mask,KN95,5797101.0,3.21,EUR,unknown,,Austria,2020-04-01,Red Cross FOIA,AT0118,,KN95 Masks GB19083-2010 medical mask,3.21,18608694.21
Sauerstoffbrille,,200000.0,0.2233,EUR,unknown,,Austria,2020-04-01,Red Cross FOIA,AT0119,,Oxygen goggles,0.2233,44660.0
MEDUMAT Standard² montiert auf LIFE BASE 3 NG,,50.0,17501.8074,EUR,unknown,,Austria,2020-03-21,Red Cross FOIA,AT0120,,MEDUMAT Standard² mounted on LIFE BASE 3 NG,17501.8074,875090.3700000001
MEDUMAT Transport mit CO2-Messung auf LIFE-BASE 4 NG,,50.0,20754.10085,EUR,unknown,,Austria,2020-03-17,Red Cross FOIA,AT0121,,MEDUMAT transport with CO2 measurement on LIFE-BASE 4 NG,20754.10085,1037705.0425
MEDUMAT Standard² montiert auf LIFE BASE 3 NG,,50.0,17501.8074,EUR,unknown,,Austria,2020-03-21,Red Cross FOIA,AT0122,,MEDUMAT Standard² mounted on LIFE BASE 3 NG,17501.8074,875090.3700000001
MEDUMAT Standard² montiert auf LIFE BASE 3 NG,,100.0,17501.8074,EUR,unknown,,Austria,2020-03-26,Red Cross FOIA,AT0123,,MEDUMAT Standard² mounted on LIFE BASE 3 NG,17501.8074,1750180.7400000002
MEDUMAT Transport mit CO2-Messung auf LIFE-BASE 4 NG,,50.0,20754.10085,EUR,unknown,,Austria,2020-03-26,Red Cross FOIA,AT0124,,MEDUMAT transport with CO2 measurement on LIFE-BASE 4 NG,20754.10085,1037705.0425
FFP2 Masken mit Ventil,FFP2,4380.0,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0125,,FFP2 masks with valve,2.7202,11914.476
FFP2 Masken mit Ventil,FFP2,6480.0,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0126,,FFP2 masks with valve,2.91305,18876.564000000002
FFP3 Masken mit Ventil,FFP3,11700.0,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0127,,FFP3 masks with valve,5.7855,67690.34999999999
FFP2 Masken mit Ventil,FFP2,3960.0,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0128,,FFP2 masks with valve,2.7202,10771.992
FFP2 Masken mit Ventil,FFP2,6480.0,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0129,,FFP2 masks with valve,2.91305,18876.564000000002
FFP3 Masken mit Ventil,FFP3,14880.0,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0130,,FFP3 masks with valve,5.7855,86088.24
FFP2 Masken mit Ventil,FFP2,6480.0,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0131,,FFP2 masks with valve,2.7202,17626.896
FFP2 Masken mit Ventil,FFP2,6480.0,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0132,,FFP2 masks with valve,2.91305,18876.564000000002
FFP3 Masken mit Ventil,FFP3,1540.0,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0133,,FFP3 masks with valve,5.7855,8909.67
Modell Oxylog VE300,,10.0,11208.645,EUR,unknown,,Austria,2020-04-01,Red Cross FOIA,AT0134,,Modell Oxylog VE300,11208.645,112086.45000000001
Modell Oxylog VE300,,10.0,11208.645,EUR,unknown,,Austria,2020-04-01,Red Cross FOIA,AT0135,,Modell Oxylog VE300,11208.645,112086.45000000001
Modell Oxylog 3000+,,5.0,11208.645,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0136,,Model Oxylog 3000+,11208.645,56043.225000000006
Modell Oxylog 3000+,,5.0,11208.645,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0137,,Model Oxylog 3000+,11208.645,56043.225000000006
Modell SAVINA 300,,5.0,17598.9429,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0138,,Model SAVINA 300,17598.9429,87994.71449999999
Modell Oxylog 3000+,,5.0,11208.645,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0139,,Model Oxylog 3000+,11208.645,56043.225000000006
Modell SAVINA 300,,10.0,17598.9429,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0140,,Model SAVINA 300,17598.9429,175989.42899999997
FFP2 Masken mit Ventil,FFP2,940.0,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0141,,FFP2 masks with valve,2.7202,2556.9880000000003
FFP2 Masken mit Ventil,FFP2,6480.0,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0142,,FFP2 masks with valve,2.91305,18876.564000000002
Modell SAVINA 300,,10.0,17598.9429,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0143,,Model SAVINA 300,17598.9429,175989.42899999997
FFP3 Masken mit Ventil,FFP3,7900.0,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0144,,FFP3 masks with valve,5.7855,45705.45
FFP2 Masken mit Ventil,FFP2,940.0,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0145,,FFP2 masks with valve,2.7202,2556.9880000000003
FFP2 Masken mit Ventil,FFP2,6480.0,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0146,,FFP2 masks with valve,2.91305,18876.564000000002
FFP3 Masken mit Ventil,FFP3,7900.0,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0147,,FFP3 masks with valve,5.7855,45705.45
FFP2 Masken mit Ventil,FFP2,6480.0,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0148,,FFP2 masks with valve,2.91305,18876.564000000002
FFP2 Masken mit Ventil,FFP2,940.0,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0149,,FFP2 masks with valve,2.7202,2556.9880000000003
FFP3 Masken mit Ventil,FFP3,7900.0,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0150,,FFP3 masks with valve,5.7855,45705.45
FFP2 Masken mit Ventil,FFP2,5400.0,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0151,,FFP2 masks with valve,2.7202,14689.080000000002
FFP2 Masken mit Ventil,FFP2,6480.0,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0152,,FFP2 masks with valve,2.91305,18876.564000000002
FFP3 Masken mit Ventil,FFP3,4540.0,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0153,,FFP3 masks with valve,5.7855,26266.17
FFP2 Masken mit Ventil,FFP2,5400.0,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0154,,FFP2 masks with valve,2.7202,14689.080000000002
FFP2 Masken mit Ventil,FFP2,6480.0,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0155,,FFP2 masks with valve,2.91305,18876.564000000002
FFP3 Masken mit Ventil,FFP3,9920.0,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0156,,FFP3 masks with valve,5.7855,57392.159999999996
FFP2 Masken mit Ventil,FFP2,4300.0,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0157,,FFP2 masks with valve,2.7202,11696.86
