supplier,supplier_clean,diff
4 titulaires: — alda texteis lda Rua Angelo Frondoni Nr 388 830-520 povoa de lanhoso Portugal code NUTS :PT1 PME : non — acqua intl 126 boulevard Notre Dame 13001 Marseille FRL04 PME : oui — romain ambrosi wine selection 182 Chemin de la cancelade,4 titulaires: — alda texteis lda rua angelo frondoni nr 388 830-520 povoa de lanhoso portugal code nuts :pt1 pme : non — acqua intl 126 boulevard notre dame 13001 marseille frl04 pme : oui — romain ambrosi wine selection 182 chemin de la cancelade,0.13
4BIZ B2B s.r.o.,4biz b2b,0.03
"4BIZ B2B, s.r.o.",4biz b2b,1.00
4BIZ B2B s. r. o.,4biz b2b s. r. o,0.67
4C Associates,4c associates,0.28
4I - Implementação e Integração de Infraestruturas de Inform...,4i - implementação e integração de infraestruturas de inform,0.16
"4Leaders, s.r.o.",4leaders,0.24
"4Sdm Performance, Unipessoal Lda","4sdm performance, unipessoal",0.28
"4X4 Multitrabalhos de Construção Civil, Unipessoal Lda","4x4 multitrabalhos de construção civil, unipessoal",0.44
5 Seasons Internacional - Companhia Distribuidora de Produto...,5 seasons internacional - companhia distribuidora de produto,0.22
"6M - Acessórios Para Calçado, Unipessoal Limitada","6m - acessórios para calçado, unipessoal limitada",0.28
8x8 UK (t/a 8x8),8x8 uk (t/a 8x8),0.15
-,?,0.00
?,?,1.00
A & R Aguiar - Reparações Automóveis Lda,a & r aguiar - reparações automóveis,0.00
A Beleza do Cabelo - Cosméticos Lda,a beleza do cabelo - cosméticos,0.27
A Cartilha-Papelarias e Livrarias Lda,a cartilha-papelarias e livrarias,0.22
A Cesta da Lua Lda,a cesta da lua,0.38
"A FORM d.o.o., zastopstva, trgovina in podjetniško svetovanje","a form d.o.o., zastopstva, trgovina in podjetniško svetovanje",0.19
A Granja-Sociedade de Representações de Produtos Para A Agri...,a granja-sociedade de representações de produtos para a agri,0.12
A Lavoura do Concelho de Paços de Ferreira Crl,a lavoura do concelho de paços de ferreira crl,0.40
"A Pires Cunha, Lda",a pires cunha,0.24
A Smefa - Sociedade Metalúrgica de Estruturas Em Ferro e Alu...,a smefa - sociedade metalúrgica de estruturas em ferro e alu,0.22
"A Voz da Póvoa - Comunicação Social, Lda",a voz da póvoa - comunicação social,0.25
A&B Professional International srl,a&b professional international,0.25
"A&F Marcos, Lda",a&f marcos,0.30
A+M GbR,a+m gbr,0.35
"ООО ""А-7""",a-7,0.20
"ООО ""А-СИМЕТРИ""",a-simetri,0.33
"A-testing, s.r.o.",a-testing,0.44
"A. Ferreira e Filhos, Artes Gráficas, Lda","a. ferreira e filhos, artes gráficas",0.22
"A. J. Oliveira, Lda",a. j. oliveira,0.28
A. J. Paulino Neves Lda,a. j. paulino neves,0.61
A. J. Sá Pinto & Filhos - Encadernadores Lda,a. j. sá pinto & filhos - encadernadores,0.47
A. Mendes da Silva Lda,a. mendes da silva,0.28
A. Pedro & Braga Lda,a. pedro & braga,0.47
A. T. P. - Tecnologia de Precisão-Medico Dentaria Lda,a. t. p. - tecnologia de precisão-medico dentaria,0.31
A. Tamošiūno įmonė,a. tamošiūno įmonė,0.30
A. Zapalskio „Azas“,a. zapalskio azas,0.40
A. Zapalskio indviduali įmonė „Azas“,a. zapalskio indviduali įmonė azas,0.67
"A. Zapalskio IĮ ""Azas""",a. zapalskio iį azas,0.74
"A.C.K., Unipessoal, Lda","a.c.k., unipessoal",0.32
A.C.R.A.F.,a.c.r.a.f,0.44
A.C.R.A.F. spa,a.c.r.a.f,1.00
A.C.S.B. Martins Lda,a.c.s.b. martins,0.48
A.faria da Silva Lda,a.faria da silva,0.38
A.ferraz Simões Lda,a.ferraz simões,0.52
A.J.costa (Irmãos) Lda,a.j.costa (irmãos),0.36
"A.J.D.L. - Produtos de Higiene, Limpeza e Desinfecção, Lda","a.j.d.l. - produtos de higiene, limpeza e desinfecção",0.31
"A.J.ferreira, Limitada","a.j.ferreira, limitada",0.32
A.lopes dos Reis & Ca Lda,a.lopes dos reis & ca,0.37
A.M. Frazão Lda,a.m. frazão,0.31
"A.M.I. - Analytical Medical Instruments, s.r.o.",a.m.i. - analytical medical instruments,0.24
"A.M.I.-Analytical Medical Instruments, s.r.o.",a.m.i. - analytical medical instruments,1.00
A.N. Dream - Produtos de Higiene Lda,a.n. dream - produtos de higiene,0.28
A.N.O.-Sistemas de Informatica e Serviços Lda,a.n.o.-sistemas de informatica e serviços,0.38
"A.P.R. - Importação e Exportação de Equipamentos, Materiais...","a.p.r. - importação e exportação de equipamentos, materiais",0.44
"A.sousa & Ca., Lda",a.sousa & ca,0.11
A17 INOVATION CONCEPT S.R.L. S.R.L.,a17 inovation concept s.r.l,0.21
A2Cs - Malhas Lda,a2cs - malhas,0.20
"A2El, Publicidade e Serviços, Lda","a2el, publicidade e serviços",0.24
A3 - Artes Gráficas Lda,a3 - artes gráficas,0.26
"ООО ""ААА СИБИРСКАЯ МЕДИЦИНСКАЯ КОМПАНИЯ""",aaa sibirskaя medicinskaя kompaniя,0.26
AB Analitica srl,ab analitica,0.26
"AB ""Audimas""",ab audimas,0.55
AB „Audimas“,ab audimas,1.00
AB Auto Brejla s.r.o.,ab auto brejla,0.50
AB Gibson Lifestyle,ab gibson lifestyle,0.30
"AB ""Kauno grūdai""",ab kauno grūdai,0.35
"AB ""KREKENAVOS AGROFIRMA""",ab krekenavos agrofirma,0.53
AB Medica,ab medica,0.31
AB Molecular Ltd,ab molecular ltd,0.56
AB reflex s.r.o.,ab reflex,0.40
Ab Scientific Ltd,ab scientific ltd,0.46
"AB ""UTENOS TRIKOTAŽAS""",ab utenos trikotažas,0.38
"AB ""VILNIAUS DEGTINĖ""",ab vilniaus degtinė,0.41
"AB ""Šatrija""",ab šatrija,0.41
"Abadia - Abrasivos e Diamantados, Lda",abadia - abrasivos e diamantados,0.24
ABB Medtec,abb medtec,0.29
ABBA DOO,abba,0.43
Abbott's diabetes care (division of Abbott Laboratories Ltd),abbott,0.60
"ABBOTT LABORATORIOS, LDA",abbott,1.00
Abbott srl,abbott,1.00
Abbott Laboratories Ltd,abbott,1.00
"Abbott Laboratories, S.A.",abbott,1.00
Abbott,abbott,1.00
Abbott GmbH,abbott,1.00
"Abbott Rapid Diagnostics Healthcare, S.L.",abbott,1.00
"Abbott Medical España, S. A.",abbott,1.00
"Abbott Rapid Diagnostics Healthcare, S. L.",abbott,1.00
"ABBOTT RAPID DIAGNOSTICS HEALTHCARE, S.L.",abbott,1.00
ABBOTT LABORATORIES SA,abbott,1.00
Abbott Rapid Diagnostics Austria GmbH,abbott,1.00
Abbott Rapid Diagnostics Lda,abbott,1.00
"Abbvie, Lda",abbvie,0.50
"Abc - Azevedo Rodrigues, Batalha, Costa & Associados, Sroc,...","abc - azevedo rodrigues, batalha, costa & associados, sroc",0.09
"Abc da Comunicação e Imagem, Unipessoal Lda","abc da comunicação e imagem, unipessoal",0.35
ABC Invest and Medical GmbH,abc invest and medical,0.30
АБДРАФИКОВ ДИНИС ДАНИЛОВИЧ,abdrafikov dinis danilovič,0.33
АБДРАХМАНОВА АЛСУ МИДХАТОВНА,abdrahmanova alsu midhatovna,0.37
АБДУЛГУЖИНА ИРИНА АУСАТОВНА,abdulgužina irina ausatovna,0.51
Абдурахманов Павел Геннадьевич,abdurahmanov pavel gennadьevič,0.39
Абдыков Тимур Халимович,abdыkov timur halimovič,0.42
"Abel Narciso Jorge, S.A",abel narciso jorge,0.24
Abil-Sociedade de Abastecimentos Industriais Lda,abil-sociedade de abastecimentos industriais,0.19
Abilio Freire Lda,abilio freire,0.32
"Abilio Pereira Reis, Sucessores, Limitada","abilio pereira reis, sucessores, limitada",0.44
Abingdon Health Ltd,abingdon health ltd,0.37
UAB „Abiotek“,abiotek,0.38
АБИШЕВ МАРАТ ЕЛОМАНОВИЧ,abišev marat elomanovič,0.27
Аблаева Оксана Сергеевна,ablaeva oksana sergeevna,0.43
able nordic a/s,able nordic a/s,0.41
Able Services Supplies Ltd,able services supplies ltd,0.44
Aboutpartners Lda,aboutpartners,0.26
ABP Agro bio product,abp agro bio product,0.36
Абрамов Алексей Леонидович,abramov alekseй leonidovič,0.30
ABRAZIV EXPERT SRL,abraziv expert,0.40
Abreu & Associados - Sociedade de Advogados Rl,abreu & associados - sociedade de advogados rl,0.20
Abreu e Pedra - Higiene e Bem Estar Lda,abreu e pedra - higiene e bem estar,0.47
"ООО ""АБРИС ПРОФИТ""",abris profit,0.34
"ООО ""АБРИС ЮГ""",abris юg,0.60
АБСАДИКОВА ЕЛЕНА ИВАНОВНА,absadikova elena ivanovna,0.24
"ООО ""АБСОЛЮТ""",absolюt,0.31
"ООО ""АБСОЛЮТ МЕДИКАЛ""",absolюt medikal,0.64
"ООО ""АБТ""",abt,0.33
ABUS PAP s.r.o.,abus pap,0.36
"Acaíl, Gás S.A","acaíl, gás",0.22
"Acc - Estruturopalco, Unipessoal Lda","acc - estruturopalco, unipessoal",0.33
ACCENTURE (UK) LIMITED,accenture uk ltd,0.33
"ACCENTURE UK LTD,",accenture uk ltd,0.84
"Acciona Facility Services, S.A",acciona facility services,0.34
"Accional - Publicidade e Comunicação Visual, Lda",accional - publicidade e comunicação visual,0.41
Accora Ltd,accora ltd,0.30
Accord-UK Ltd,accord healthcare,0.59
Accord UK,accord healthcare,1.00
ACCORD HEALTHCARE SLU,accord healthcare,1.00
"Accord Healthcare, Ltd - Sucursal Em Portugal",accord healthcare,1.00
"Accord Healthcare, Unipessoal Lda",accord healthcare,1.00
Accu-Science Ireland Ltd,accu-science ireland ltd,0.29
Accumed,accumed,0.39
Accuramed BVBA,accuramed bvba,0.67
"ООО ""АЦЕЯ""",aceя,0.33
ACF Technologies (UK) Ltd,acf technologies (uk) ltd,0.21
"Acimiuq - Comércio de Produtos Químicos, Lda",acimiuq - comércio de produtos químicos,0.22
"Acin-Icloud Solutions, Lda",acin-icloud solutions,0.27
"ACJ, S. A. U.","acj, s. a. u",0.30
ACP IT Solution GmbH,acp it solutions,0.36
ACP IT Solutions GmbH,acp it solutions,1.00
ACP IT SOlutions GmbH,acp it solutions,1.00
ACP**,acp**,0.29
ACPV,acpv,0.67
"Acqua Zmc Distribuições, Lda",acqua zmc distribuições,0.15
Acrialbi - Acrílicos e Decorações Lda,acrialbi - acrílicos e decorações,0.36
"Acriglobal - Acrilicos, Lda",acriglobal - acrilicos,0.62
"Acrilabe - Sociedade De Acrílicos, Lda",acrilabe - sociedade de acrílicos,0.33
"Acrilcorte - Importação e Exportação de Acrilico, Lda",acrilcorte - importação e exportação de acrilico,0.57
Acrilfer-Importação e Exportação Lda,acrilfer-importação e exportação,0.75
Acrilmolde - Transformação de Acrílicos Lda,acrilmolde - transformação de acrílicos,0.48
"Acrilzita - Marketing e Publicidade, Unipessoal Lda","acrilzita - marketing e publicidade, unipessoal",0.40
ACRON trgovsko podjetje d.o.o.,acron trgovsko podjetje,0.23
ACS Business Supplies Ltd,acs business supplies ltd,0.25
"Action People, Unipessoal Lda","action people, unipessoal",0.32
Action Point,action point,0.54
Actiwork SAS,actiwork sas,0.50
Actome,actome,0.44
"Actuasys, Lda",actuasys,0.43
Actuel Vet,actuel vet,0.44
Acuitas Therapeutics,acuitas therapeutics,0.27
"Acusis, Unipessoal Lda","acusis, unipessoal",0.42
ACUÑA Y FOMBONA SA,acuña y fombona,0.24
AD MERCHANDISE LTD,ad merchandise ltd,0.24
"Adagietto - Gabinete Executivo de Marketing, Lda",adagietto - gabinete executivo de marketing,0.26
"Adalchimia, Lda",adalchimia,0.26
Adaptive srl,adaptive,0.44
ADAR UNIC SOLUTIONS,adar unic solutions,0.37
adArchitects Ltd,adarchitects ltd,0.40
ADC,adc,0.32
"ADC Ingeniería Aeroespacial y Nuevas Tecnologías, S. L. U.","adc ingeniería aeroespacial y nuevas tecnologías, s. l. u",0.10
Addingbliss - Unipessoal Lda,addingbliss - unipessoal,0.25
Addmore - Publicidade Lda,addmore - publicidade,0.36
"Adega Cooperativa de Vidigueira, Cuba e Alvito, CRL","adega cooperativa de vidigueira, cuba e alvito, crl",0.08
Adeim-Associação Para O Desenvolvimento do Ensino e Investig...,adeim-associação para o desenvolvimento do ensino e investig,0.34
Adequadoscópio Lda,adequadoscópio,0.24
Adi Higiene Lda,adi higiene,0.24
Adient Czech Republic k.s.,adient czech republic k.s,0.33
Adient Ltd. & Co.KG,adient ltd. & co.kg,0.41
Adimag Comimpex SRL,adimag comimpex,0.35
"ADLER Czech, a.s.",adler czech,0.38
Admir & Castro Lda,admir & castro,0.40
Adocequipa - Equipamentos Hoteleiros e Ar Condicionado Lda,adocequipa - equipamentos hoteleiros e ar condicionado,0.26
"ООО ""АДОНИС""",adonis,0.20
Adp - Águas de Portugal Serviços Ambientais S.A,adp - águas de portugal serviços ambientais,0.24
AdQuipment medical bv,adquipment medical,0.30
adrexo,adrexo,0.25
Adriamed,adriamed,0.57
Adriano Ferreira Peixoto & Filhos Lda,adriano ferreira peixoto & filhos,0.29
Ads - Associação De Designers Do Sul,ads - associação de designers do sul,0.35
"Adsterpt, Unipessoal Lda","adsterpt, unipessoal",0.32
ADT Altona Diagnostic Technologies GmbH,adt altona diagnostic technologies,0.22
Advance Still S.R.L.,advance still,0.38
Advanced MediSupply EU,advanced medisupply eu,0.57
"Advanced Resources, Engenharia, Integração, Aplicações, Sist...","advanced resources, engenharia, integração, aplicações, sist",0.34
Advancingto - Prestação de Serviços de Informática e Gestão...,advancingto - prestação de serviços de informática e gestão,0.37
"ООО ""АДВАНС""",advans,0.18
"ООО ""АДВАНТА""",advanta,0.77
Advantarget - Climatização e Ventilação Lda,advantarget - climatização e ventilação,0.30
Advice A/S,advice a/s,0.29
"Adway, Lda",adway,0.40
"Aehs, Unipessoal Lda","aehs, unipessoal",0.19
Aelo-Grup SRL,aelo-grup,0.24
AEMA HISPÁNICA SL,aema hispánica,0.26
Aeneas Beteiligungsgesellschaft mbH,aeneas beteiligungsgesellschaft,0.18
AENEAS Beteilligungsgesellschaft mbH,aeneas beteiligungsgesellschaft,1.00
"Aenor Internacional, S.A.U.","aenor internacional, s.a.u",0.28
AERTEC,aertec,0.38
AES Industrial Supplies,aes industrial supplies,0.28
"Aetpt Portugal, Unipessoal Lda","aetpt portugal, unipessoal",0.45
"Af Refrigeração, Unipessoal Lda","af refrigeração, unipessoal",0.64
Афанасьев Сергей Владимирович,afanasьev sergeй vladimirovič,0.25
AFAP,afap,0.18
AFB plc,afb plc,0.55
"ООО ""АФК""",afk,0.40
"Afonso - Produção De Vestuário, Lda",afonso - produção de vestuário,0.12
"Afonso, Camacho Lda","afonso, camacho",0.36
Афонюшкин Максим Сергеевич,afonюškin maksim sergeevič,0.34
Афонюшкина Елена Петровна,afonюškina elena petrovna,0.59
Aga - Álcool e Géneros Alimentares S.A,aga - álcool e géneros alimentares,0.27
"ООО ""АГА ЛЕГИОН""",aga legion,0.41
Агаджанов Валерий Александрович,agadžanov valeriй aleksandrovič,0.39
АГАЛЕТДИНОВ ИЛЬСУР,agaletdinov ilьsur,0.49
Agarb - Máquinas e Ferramentas Lda,agarb - máquinas e ferramentas,0.29
„Агарта-ЦМ“ ЕООД,agarta-cm eood,0.27
"ООО ""АГАТ""",agat,0.44
"ООО ""АГАТ СЕЛЕКТА""",agat selekta,0.50
"Agdis, Lda",agdis,0.35
AGE UK,age uk,0.36
AGEM AUXILIAR GENERAL DE ELECTROMED,agem auxiliar general de electromedicina,0.24
AGEM AUXILIAR GENERAL DE ELECTROMEDICINA S.L.,agem auxiliar general de electromedicina,0.93
Agena Bioscience GmbH,agena bioscience,0.18
Agentur Ritt GmbH,agentur ritt,0.43
Aggée,aggée,0.35
Agile Medical,agile medical,0.33
Agilent Technologies Österreich GmbH,agilent technologies österreich,0.41
"Agimade - Sociedade De Importação De Produtos Hospitalares, Unipessoal, Lda","agimade - sociedade de importação de produtos hospitalares, unipessoal",0.30
Aglika Trade Ltd.,aglika trade ltd,0.19
AGMA Ltd,agma ltd,0.58
"Agnipapel, Comércio de Materiais de Escritório Lda","agnipapel, comércio de materiais de escritório",0.22
Agostinho Malheiro Coelho-Construções Lda,agostinho malheiro coelho-construções,0.34
"Agostinho Pereira de Freitas, Unipessoal Lda","agostinho pereira de freitas, unipessoal",0.49
"Agri Retalho, Gestão de Lojas, S.A","agri retalho, gestão de lojas",0.38
"Agriguimarães, Centro Comercial e Agrícola de Guimarães, Uni...","agriguimarães, centro comercial e agrícola de guimarães, uni",0.34
"Agrireboredo, Lda",agrireboredo,0.28
Agro Alcanede - Produtos e Equipamentos Para Agricultura e P...,agro alcanede - produtos e equipamentos para agricultura e p,0.17
Agro Gavro Resen,agro gavro resen,0.32
"Agro2Oilges, Lda",agro2oilges,0.52
"ООО ""АГРОИНМЕТ""",agroinmet,0.60
Agromarket MURTA,agromarket murta,0.56
"Agros-Comercial - Assistência Técnica À Produção de Leite, L...","agros-comercial - assistência técnica à produção de leite, l",0.21
"Agrosiopa - Agricultura e Serviços, Unipessoal Lda","agrosiopa - agricultura e serviços, unipessoal",0.42
"ООО ""АГРОСТРОЙ""",agrostroй,0.29
"ООО ""АГРОТОРГОВЫЙ ДОМ""",agrotorgovый dom,0.56
"ООО ""АГРОВЕТ""",agrovet,0.43
"Agroviseu - Comércio, Indústria & Representações S.A","agroviseu - comércio, indústria & representações",0.25
"Agroútil - Especialidades Farmacêuticas, Lda",agroútil - especialidades farmacêuticas,0.32
"Agrupamento Vertical Da Eb2,3 João Da Rosa","agrupamento vertical da eb2,3 joão da rosa",0.22
Aguia Azul-Cooperativa de Radio e Jornalismo Crl,aguia azul-cooperativa de radio e jornalismo crl,0.29
Ahema solutions,ahema solutions,0.29
"ООО ""АХЕЙЯ""",aheйя,0.30
"Ahlers, Lindley Lda","ahlers, lindley",0.30
Ahlsell Sverige AB,ahlsell sverige ab,0.42
АХМАДАЛИН РАДИК ЛУТФУЛЛИНОВИЧ,ahmadalin radik lutfullinovič,0.26
АХМАДЕЕВ АНУР РАИСОВИЧ,ahmadeev anur raisovič,0.59
АХМАТГАЛЕЕВ МУРАТ,ahmatgaleev murat,0.56
Ахмедьянов Рафаэль Фознавиевич,ahmedьяnov rafaэlь foznavievič,0.34
АХМЕТОВ РУСЛАН РАДИКОВИЧ,ahmetov ruslan radikovič,0.52
АХМЕТОВА ФАВЗАНА,ahmetova favzana,0.55
Ахметшина Алёна Юрьевна,ahmetšina alёna юrьevna,0.36
АХМЕТЬЯНОВА ФАНЗИРА,ahmetьяnova fanzira,0.57
АХТАРИЕВ ФИРДИНАТ ФИДАГИЕВИЧ,ahtariev firdinat fidagievič,0.38
Aicd - Associação Para Inserção Por Centros Digitais De Informação,aicd - associação para inserção por centros digitais de informação,0.23
AIDA COMMERCE,aida commerce,0.23
AIESI HOSPITAL SERIVCE S.a.s.,aiesi hospital serivce s.a.s,0.39
AIESI HOSPITAL SERIVCE S.a.s,aiesi hospital serivce s.a.s,1.00
Aig Europe S.A. - Sucursal Em Portugal,aig europe s.a. - sucursal em portugal,0.36
"UAB ""Aika dovanos""",aika dovanos,0.24
Аинов Мацак Алексеевич,ainov macak alekseevič,0.29
„AIR” Asociația Instalatorilor din România,air asociația instalatorilor din românia,0.19
"Air Designers, Lda",air designers,0.30
Air Filtration Solutions Ltd,air filtration solutions ltd,0.34
Air Liquide Healthcare,air liquide,0.32
"Air Liquide Healthcare España, S. L.",air liquide,0.86
Air Liquide Medical Systems srl,air liquide,0.61
Air Liquide Medical Systems,air liquide,1.00
Air Liquide Medicinal S.A,air liquide,0.79
Air Liquide Santé France,air liquide,0.58
Air Liquide Vitalaire România,air liquide,0.57
"Airbox, S. A.",airbox,0.23
Airbus SAS,airbus sas,0.50
Aircraft Cabin Modification GmbH,aircraft cabin modification,0.22
Airedale Catering Equipment Limited,airedale catering equipment limited,0.39
"Airliquid Healthcare, S. L.",airliquid healthcare,0.33
Airoferragens - Ferragens e Ferramentas Lda,airoferragens - ferragens e ferramentas,0.20
"Aisman, S. L.",aisman,0.22
AIYA Technology,aiya technology,0.38
AJ Biais,aj biais,0.17
AJL OPHTHALMIC SA,ajl ophthalmic,0.45
"Ajm Cordeiro, Lda",ajm cordeiro,0.31
"ООО ""АКАДЕМИЯ-ГРУПП""",akademiя-grupp,0.38
АКБЕРДИН ФАВИЗ ФААТОВИЧ,akberdin faviz faatovič,0.22
"ООО ""АКЦЕНТ""",akcent,0.34
"ООО ""АКЦЕНТ-СЕРВИС""",akcent-servis,0.63
"ООО ""АКЦЕПТ""",akcept,0.53
"ООО ""АКЕСО МЕДИКАЛ""",akeso medikal,0.32
"АКГУП ""АПТЕКИ АЛТАЯ""",akgup apteki altaя,0.45
AKHTER COMPUTERS LIMITED,akhter computers limited,0.29
"ООО ""АККУМУЛЯТОРНЫЕ ТЕХНОЛОГИИ""",akkumulяtornыe tehnologii,0.33
"ООО ""АКМЕ-ДИЗАЙН""",akme-dizaйn,0.28
Акпаралиев Рамил Рустамалиевич,akparaliev ramil rustamalievič,0.15
"Akra Pictures, S. L.",akra pictures,0.37
AKSANA s.r.o.,aksana,0.32
Аксенко Федор Викторович,aksenko fedor viktorovič,0.27
"ООО ""АКСИ-МЕД""",aksi-med,0.31
"ООО ""АКСИЛАЙН""",aksilaйn,0.50
"ООО ""АКСИОН""",aksion,0.71
Akson Project SRL,akson project,0.53
"ООО ""АКТИМЕД""",aktimed,0.30
"ООО ""АКТИМЕД ПЛЮС""",aktimed plюs,0.74
"ООО ""АКТИВ МЕДИКА""",aktiv medika,0.58
Aktsiaselts Chemi-Pharm,aktsiaselts chemi-pharm,0.29
Aktsiaselts Meditsiinigrupp,aktsiaselts meditsiinigrupp,0.60
Aktsiaselts Semetron,aktsiaselts semetron,0.68
Акулиничева Ирина Гурьевна,akuliničeva irina gurьevna,0.17
"ООО ""АКВА""",akva,0.27
"ООО ""АКВАДЕЗ""",akvadez,0.73
"ООО ""АКВАВИТ""",akvavit,0.57
"ООО ""АКВИЛА""",akvila,0.62
"ООО ""АКВИЛОН""",akvilon,0.77
"ООО ""АКВИТА""",akvita,0.62
AL-CARINA S.R.L.,al-carina,0.27
"Alacer-Mobiliário de Escritório, Lda",alacer-mobiliário de escritório,0.25
"ООО ""АЛАМАР""",alamar,0.27
"ООО ""АЛАМЕДА""",alameda,0.77
Alanprofissional Lda,alanprofissional,0.35
"ООО ""АЛАНТЕРА""",alantera,0.50
Alarmax - Soluções de Segurança Lda,alarmax - soluções de segurança,0.31
"Alarmes Jfmc, Lda",alarmes jfmc,0.37
Alartécnica - Comercialização e Montagem de Equipamento Eléc...,alartécnica - comercialização e montagem de equipamento eléc,0.19
ALAY PRODUCTOS CLINICOS SA,alay productos clinicos,0.22
ALBA CONF SRL,alba conf,0.38
"Alba Vita, Lda",alba vita,0.56
"Albaida Quality, S. L.",albaida quality,0.58
Albano & Irmão Lda,albano & irmão,0.41
Albarrada Texteis Lda,albarrada texteis,0.32
"Albazul Servicios Integrales, S. A.",albazul servicios integrales,0.40
ALBAZUL SERVICIOS INTEGRALES SA,albazul servicios integrales,1.00
"ALBERT DOKU 
NIPT-i K33710231Q","albert doku 
nipt-i k33710231q",0.21
Albert Harrison and Co. Ltd,albert harrison and,0.37
"Alberto Marques & Filhos, S.A",alberto marques & filhos,0.51
Albino Dias de Andrade S.A,albino dias de andrade,0.39
Albino Nunes & Rocha Lda,albino nunes & rocha,0.57
"ООО ""АЛБИОМЕД""",albiomed,0.43
Albiscola - Comércio de Material Escolar e de Escritório Lda...,albiscola - comércio de material escolar e de escritório,0.22
"Alcampo, Sociedade Comercial de Produtos Quimicos, Farmaceut...","alcampo, sociedade comercial de produtos quimicos, farmaceut",0.34
"Alcoagás, Unipessoal Lda","alcoagás, unipessoal",0.23
Alcofa Vaidosa Unipessoal Lda,alcofa vaidosa unipessoal,0.76
Alcosolar Lda,alcosolar,0.41
"Alda Consultoría y Proyectos, S. L.",alda consultoría y proyectos,0.38
"ALDOSCH - FARMA” SH.P.K,",aldosch - farma,0.23
ALDOSCH FARMA,aldosch farma,0.93
Alecarpecas-Acessorios de Automoveis Lda,alecarpecas-acessorios de automoveis,0.24
АЛЕЕВА НАТАЛЬЯ АЙБУЛАТОВНА,aleeva natalья aйbulatovna,0.39
Alegriaconstante Unipessoal Lda,alegriaconstante unipessoal,0.34
Алехин Артём Вадимович,alehin artёm vadimovič,0.29
Александров Ярослав Александрович,aleksandrov яroslav aleksandrovič,0.44
