Original name of the product,Product category,amount,unit price,currency,price including taxes,tax rate (%),country,date,source,tender ref,note,description_EN
Handantiseptikum,Hand sanitizer,1000,0.009380000000000001,EUR,,,Austria,2020-03-19,LFUW.csv,AT0377,ml,Handantiseptikum
Universalspender - Desinfektion,Disinfectants,10,85.308,EUR,,,Austria,2020-03-23,LFUW.csv,AT0378,Stück,Universal dispenser - disinfection
Abdeckbare Desinfektionsspender,Disinfectants,10,41.760000000000005,EUR,,,Austria,2020-03-23,LFUW.csv,AT0379,Stück,Coverable disinfectant dispenser
Dosierpumpe Desinfektionsmittelkanister,Disinfectants,2,27.85,EUR,,,Austria,2020-04-09,LFUW.csv,AT0380,Stück,Dosing pump disinfectant canister
Desinfektionstücher,Disinfecting Wipes,16,0.95,EUR,,,Austria,2020-04-11,LFUW.csv,AT0381,Packungen,Disinfectant wipes
Leerflaschen für Desinfetkionsmittel ,Disinfectants,16,1.425,EUR,,,Austria,2020-04-11,LFUW.csv,AT0382,Packungen,Empty bottles for disinfectants
Mund-Nasen-Maske Universal,Mask (unspecified),3000,1.1423333333333334,EUR,,,Austria,2020-04-22,LFUW.csv,AT0383,Stück,Mouth-nose-mask Universal
Mund-Nasen-Maske Universal,Mask (unspecified),1000,0.72,EUR,,,Austria,2020-04-10,LFUW.csv,AT0384,Stück,Mouth-nose-mask Universal
Mund-Nasen-Maske Universal,Mask (unspecified),3000,0.65,EUR,,,Austria,2020-04-27,LFUW.csv,AT0385,Stück,Mouth-nose-mask Universal
Händedesinfektionsmittel,Disinfectants,16000,0.027600000000000003,EUR,,,Austria,2020-04-21,LFUW.csv,AT0386,ml,Hand disinfectant
Händedesinfektionsmittel,Disinfectants,40000,0.01806,EUR,,,Austria,2020-04-21,LFUW.csv,AT0387,ml,Hand disinfectant
Thekenschutz/Spuckschutz,Other: non medical,7,175.8857142857143,EUR,,,Austria,2020-04-14,LFUW.csv,AT0388,Stück,Counter protection / spit protection
Desinfektionstücher,Disinfecting Wipes,20,2.29,EUR,,,Austria,2020-05-15,LFUW.csv,AT0389,Packungen,Disinfectant wipes
Thekenschutz/Spuckschutz,Other: non medical,4,150,EUR,,,Austria,2020-04-27,LFUW.csv,AT0390,Stück,Counter protection / spit protection
Gesichtsschutzschild inkl. Ersatz,Face shield,32,30,EUR,,,Austria,2020-05-18,LFUW.csv,AT0391,Stück,Face shield including replacement
Leerflaschen inkl. Zerstäuber,Other: non medical,50,2.05,EUR,,,Austria,2020-04-20,LFUW.csv,AT0392,Stück,Empty bottles including atomizers
Desinfektionsmittel ,Disinfectants,20000,0.0138,EUR,,,Austria,2020-05-29,LFUW.csv,AT0393,ml,Disinfectant
Augenschild-Gesichtsschutz,Face shield,100,10.392000000000001,EUR,,,Austria,2020-06-02,LFUW.csv,AT0394,Stück,Eye shield face protection
Fieberthermometer,thermometer,3,54,EUR,,,Austria,,LFUW.csv,AT0395,Stück,Medical thermometer
Schnelldesinfektionsmittel,Disinfectants,15000,0.011375999999999999,EUR,,,Austria,,LFUW.csv,AT0396,ml,Quick disinfectant
Schnelldesinfektionstücher,Disinfecting Wipes,18,7.4061111111111115,EUR,,,Austria,2020-06-02,LFUW.csv,AT0397,Packungen,Quick disinfectant wipes
Mund-Nasen-Schutmasken Textil,Mask (unspecified),1000,3.5,EUR,,,Austria,,LFUW.csv,AT0398,Stück,Mouth-nose protective masks textile
Desinfektion - Universalspender-Blende,Disinfectants,10,41.760000000000005,EUR,,,Austria,,LFUW.csv,AT0399,Stück,Disinfection - universal dispenser cover
Desinfektion - Universalspender,Disinfectants,10,85.308,EUR,,,Austria,,LFUW.csv,AT0400,Stück,Disinfection - universal dispenser
"Domains (8 variations of wirzählenaufeuch.at, 2 variations of dielebensmittelhelfer.at and zivis.at between 19-03 and 14-04)",Other: non medical,1,792,EUR,,,Austria,2020-04-14,LFUW.csv,AT0401,Stück,"Domains (8 variations of wirzählenaufeuch.at, 2 variations of dielebensmittelhelfer.at and zivis.at between 19-03 and 14-04)"
Domain names (3 variations on sicheregastfreunschaft.at and 8 variatons of oesterreichkauftregional.at),Other: non medical,1,792,EUR,,,Austria,2020-04-23,LFUW.csv,AT0402,Stück,Domain names (3 variations on sicheregastfreunschaft.at and 8 variatons of oesterreichkauftregional.at)
Lizenzaufstockung Forcepoint Triton AP-Email (2020-0.237.535),Other: non medical,100,17.8806,EUR,,,Austria,2020-03-27,LFUW.csv,AT0403,Lizenzen,License upgrade Forcepoint Triton AP-Email (2020-0.237.535)
Programmierung TelefonSW (2020-0.213.281),Other: non medical,5,117.17999999999999,EUR,,,Austria,2020-04-06,LFUW.csv,AT0404,Lizenzen,Programming telephone SW (2020-0.213.281)
ZOOM Webinar (2020-0.313.795),Other: non medical,1,379,EUR,,,Austria,2020-05-22,LFUW.csv,AT0405,Upgrade,ZOOM Webinar (2020-0.313.795)
Logitech Conference Cam Connect (2020-0.272.865),Other: non medical,1,499.09,EUR,,,Austria,2020-05-06,LFUW.csv,AT0406,Stück,Logitech Conference Cam Connect (2020-0.272.865)
Tool Zoom (2020-0.189.279) (3 invoices),Other: non medical,20,192.1685,EUR,,,Austria,,LFUW.csv,AT0407,Lizenzen,Tool Zoom (2020-0.189.279) (3 invoices)
Bluetooth Freisprecheinrichtungen (2020-02.244.638),Other: non medical,1,149.65,EUR,,,Austria,2020-04-24,LFUW.csv,AT0408,Stück,Bluetooth hands-free kits (2020-02.244.638)
Logitech C930e Webcams ,Other: non medical,40,136.8,EUR,,,Austria,2020-05-14,LFUW.csv,AT0409,Stück,Logitech C930e Webcams 
cisco-webex,Other: non medical,1,249.12,EUR,,,Austria,2020-05-20,LFUW.csv,AT0410,Stück,cisco-webex
Dell Laptops,Other: non medical,5,58800,EUR,,,Austria,,tabula-KKDuS.csv,AT0763,Stück,Dell Laptops
Desinfektionsmittelspender für Arsenal,Disinfectants,1,15480,EUR,,,Austria,2020-04-27,tabula-KKDuS.csv,AT0764,Stück,Disinfect on donation for Arsenal
Desinfektionsmittelspender für Mauerbach,Disinfectants,1,15480,EUR,,,Austria,2020-04-27,tabula-KKDuS.csv,AT0765,Stück,Disinfec onsmielspend he for Mauerbach
Flächendesinfektionsmiettel für Mauerbach,Disinfectants,12,1438.8333333333333,EUR,,,Austria,2020-05-19,tabula-KKDuS.csv,AT0766,Flasche n à 500 ml,Surface disinfection for Mauerbach
Flächendesinfektionsmittel,Disinfectants,6,649.3333333333334,EUR,,,Austria,2020-08-04,tabula-KKDuS.csv,AT0767,"Flasche n à 0,75 ml",Surface disinfection on
Flächendesinfektionsmittel Nachfüllkanister für Mauerbach,Disinfectants,2,7722,EUR,,,Austria,2020-05-19,tabula-KKDuS.csv,AT0768,Kanister a 1000 ml,Surface disinfectant refill canister for Mauerbach
Gesichtsschutzschilder,Face shield,60,599,EUR,,,Austria,2020-08-05,tabula-KKDuS.csv,AT0769,Stück,Face shields
Gesichtsvisiere,Face shield,150,2220,EUR,,,Austria,2020-04-23,tabula-KKDuS.csv,AT0770,Stück,Facial visors
Handdesinfektionsmittel,Hand sanitizer,24,519.2083333333334,EUR,,,Austria,2020-08-04,tabula-KKDuS.csv,AT0771,Flasche n à 500 ml,Hand disinfectant
Handdesinfektionsmittel,Hand sanitizer,60,744,EUR,,,Austria,2020-04-15,tabula-KKDuS.csv,AT0772,Flasche n à 500 ml,Hand disinfectant
Handdesinfektionsmittel,Hand sanitizer,24,948,EUR,,,Austria,2020-04-27,tabula-KKDuS.csv,AT0773,Flasche n à 500 ml,Hand disinfectant
Handdesinfektionsmittel,Hand sanitizer,36,948,EUR,,,Austria,2020-08-05,tabula-KKDuS.csv,AT0774,Flasche n à 500 ml,Hand disinfectant
Handdesinfektionsmittel für Mauerbach,Hand sanitizer,10,804,EUR,,,Austria,2020-05-20,tabula-KKDuS.csv,AT0775,Flasche n à 500 ml,Hand disinfect onsmiel for Mauerbach
Handdesinfektionsmittel für Mauerbach (für Besucher),Hand sanitizer,8,1618.75,EUR,,,Austria,2020-05-19,tabula-KKDuS.csv,AT0776,Flasche n à 500 ml,Hand disinfect onsmiel for Mauerbach (for visitors)
Handdesinfektionsmittel für Mauerbach Nachfüllkanister (für Besucher),Hand sanitizer,2,11999,EUR,,,Austria,2020-05-20,tabula-KKDuS.csv,AT0777,Kanister,Hand disinfect onsmiel for Mauerbach refill canister (for visitors)
Händedesinfektionsmittel,Hand sanitizer,60,749.6666666666666,EUR,,,Austria,2020-03-04,tabula-KKDuS.csv,AT0778,Flasche n à 500 ml,Hand disinfection onsmiel
HP Business Top Load- Tasche,Other: non medical,10,1660.8,EUR,,,Austria,2020-04-17,tabula-KKDuS.csv,AT0779,Stück,HP Business Top Load bag
HP Elite Book 840 G6,Other: non medical,10,117626.4,EUR,,,Austria,2020-04-17,tabula-KKDuS.csv,AT0780,Stück,HP Elite Book 840 G6
MNS-Masken,Mask (unspecified),100,114.26,EUR,,,Austria,2020-12-04,tabula-KKDuS.csv,AT0781,Stück,MNS-Masken
MNS-Masken,Mask (unspecified),400,137.1125,EUR,,,Austria,2020-04-21,tabula-KKDuS.csv,AT0782,Stück,MNS-Masken
MNS-Masken (Baumwolle),Mask (unspecified),400,540,EUR,,,Austria,2020-04-28,tabula-KKDuS.csv,AT0783,Stück,MNS masks (cotton)
Mundschutzmasken FFP2,FFP2,300,902.31,EUR,,,Austria,2020-07-04,tabula-KKDuS.csv,AT0784,Stück,Face masks FFP2
Mundschutzmasken FFP2,FFP2,150,590,EUR,,,Austria,2020-04-27,tabula-KKDuS.csv,AT0785,Stück,Face masks FFP2
Pumpspender,Other: non medical,60,81.9,EUR,,,Austria,2020-04-27,tabula-KKDuS.csv,AT0786,Stück,Pumpspender
Sprühkopfflaschen,Other: non medical,12,456,EUR,,,Austria,2020-11-05,tabula-KKDuS.csv,AT0787,Stück,Spray head bottles
Spuckschutz f. Mauerbach,Other: non medical,1,12600,EUR,,,Austria,2020-05-19,tabula-KKDuS.csv,AT0788,Stück,Spuckschutz f. Mauerbach
Studie zur Ökonomischen Bedeutung der Kulturwirtschaund ihrer Betroffenheit in der COVID-19-Krise,Other: non medical,1,2698500,EUR,,,Austria,2020-04-16,tabula-KKDuS.csv,AT0789,,Study on the economic importance of the cultural economy and its impact in the COVID-19 crisis
zusätzliche Desinfektionsmittelspender f. Mauerbach,Disinfectants,4,4845.5,EUR,,,Austria,2020-05-19,tabula-KKDuS.csv,AT0790,Stück,additional disinfectant dispenser he f. Mauerbach
FFP2 Masken ohne Ventil,FFP2,260520,0.96,EUR,unknown,,Austria,2020-03-17,Red Cross FOIA,AT0099,,FFP2 masks without valve
FFP2 Masken ohne Ventil 240/Karton,FFP2,8400,0.96,EUR,unknown,,Austria,2020-03-19,Red Cross FOIA,AT0100,,FFP2 masks without valve 240 / box
FFP2 Masken ohne Ventil,FFP2,400400,0.96,EUR,unknown,,Austria,2020-03-19,Red Cross FOIA,AT0101,,FFP2 masks without valve
FFP2 Masken ohne Ventil,FFP2,100320,0.96425,EUR,unknown,,Austria,2020-03-19,Red Cross FOIA,AT0102,,FFP2 masks without valve
FFP2 Masken ohne Ventil,FFP2,264440,0.96425,EUR,unknown,,Austria,2020-03-19,Red Cross FOIA,AT0103,,FFP2 masks without valve
PROTECTIVE COVERALL L,Disposable coverall,5000,32.4394,EUR,unknown,,Austria,2020-04-03,Red Cross FOIA,AT0104,,PROTECTIVE COVERALL L
PROTECTIVE COVERALL XL,Disposable coverall,5000,32.4394,EUR,unknown,,Austria,2020-04-03,Red Cross FOIA,AT0105,,PROTECTIVE COVERALL XL
Schutzoveralls Typ 5/6,,5000,7.56175,EUR,unknown,,Austria,2020-03-19,Red Cross FOIA,AT0106,,Protective overalls type 5/6
FFP2 Masken mit Ventil,FFP2,6000,5.8058,EUR,unknown,,Austria,2020-03-25,Red Cross FOIA,AT0107,,FFP2 masks with valve
Kontaktloser Fieberthermometer,Infrared thermometer,290,224.315,EUR,unknown,,Austria,2020-04-23,Red Cross FOIA,AT0108,,Contactless clinical thermometer
Kontaktloser Fieberthermometer,Infrared thermometer,10,224.315,EUR,unknown,,Austria,2020-04-23,Red Cross FOIA,AT0109,,Contactless clinical thermometer
Kontaktloser Fieberthermometer,Infrared thermometer,700,224.315,EUR,unknown,,Austria,2020-04-23,Red Cross FOIA,AT0110,,Contactless clinical thermometer
Untersuchungshandschuhe,Medical gloves,2193615,0.039585,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0111,,Examination gloves
MELSEPT SF KANISTER 5LT,,750,3.451,EUR,unknown,,Austria,2020-03-26,Red Cross FOIA,AT0112,,MELSEPT SF CAN 5LT
Untersuchungshandschuhe,Medical gloves,1815885,0.039585,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0113,,Examination gloves
Instrumentendesinfektion Helipur 5L,,600,6.19556,EUR,unknown,,Austria,2020-03-26,Red Cross FOIA,AT0114,,Instrumentendesinfektion Helipur 5L
CHLORHEXIDIN 2% ALKOHOLISCH SPRAYFL. 250ML,,960,12.586,EUR,unknown,,Austria,2020-04-03,Red Cross FOIA,AT0115,,CHLORHEXIDINE 2% ALCOHOLIC SPRAYFL. 250ML
CHLORHEXIDIN 2% ALKOHOLISCH SPRAYFL. 250ML,,40,12.586,EUR,unknown,,Austria,2020-04-03,Red Cross FOIA,AT0116,,CHLORHEXIDINE 2% ALCOHOLIC SPRAYFL. 250ML
MELISEPTOL RAPID KANISTER 5LT,,750,4.0397,EUR,unknown,,Austria,2020-03-26,Red Cross FOIA,AT0117,,MELISEPTOL RAPID CANISTER 5LT
KN95 Masken GB19083-2010 medical mask,KN95,5797101,3.21,EUR,unknown,,Austria,2020-04-01,Red Cross FOIA,AT0118,,KN95 Masks GB19083-2010 medical mask
Sauerstoffbrille,,200000,0.2233,EUR,unknown,,Austria,2020-04-01,Red Cross FOIA,AT0119,,Oxygen goggles
MEDUMAT Standard² montiert auf LIFE BASE 3 NG,,50,17501.8074,EUR,unknown,,Austria,2020-03-21,Red Cross FOIA,AT0120,,MEDUMAT Standard² mounted on LIFE BASE 3 NG
MEDUMAT Transport mit CO2-Messung auf LIFE-BASE 4 NG,,50,20754.10085,EUR,unknown,,Austria,2020-03-17,Red Cross FOIA,AT0121,,MEDUMAT transport with CO2 measurement on LIFE-BASE 4 NG
MEDUMAT Standard² montiert auf LIFE BASE 3 NG,,50,17501.8074,EUR,unknown,,Austria,2020-03-21,Red Cross FOIA,AT0122,,MEDUMAT Standard² mounted on LIFE BASE 3 NG
MEDUMAT Standard² montiert auf LIFE BASE 3 NG,,100,17501.8074,EUR,unknown,,Austria,2020-03-26,Red Cross FOIA,AT0123,,MEDUMAT Standard² mounted on LIFE BASE 3 NG
MEDUMAT Transport mit CO2-Messung auf LIFE-BASE 4 NG,,50,20754.10085,EUR,unknown,,Austria,2020-03-26,Red Cross FOIA,AT0124,,MEDUMAT transport with CO2 measurement on LIFE-BASE 4 NG
FFP2 Masken mit Ventil,FFP2,4380,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0125,,FFP2 masks with valve
FFP2 Masken mit Ventil,FFP2,6480,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0126,,FFP2 masks with valve
FFP3 Masken mit Ventil,FFP3,11700,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0127,,FFP3 masks with valve
FFP2 Masken mit Ventil,FFP2,3960,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0128,,FFP2 masks with valve
FFP2 Masken mit Ventil,FFP2,6480,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0129,,FFP2 masks with valve
FFP3 Masken mit Ventil,FFP3,14880,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0130,,FFP3 masks with valve
FFP2 Masken mit Ventil,FFP2,6480,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0131,,FFP2 masks with valve
FFP2 Masken mit Ventil,FFP2,6480,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0132,,FFP2 masks with valve
FFP3 Masken mit Ventil,FFP3,1540,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0133,,FFP3 masks with valve
Modell Oxylog VE300,,10,11208.645,EUR,unknown,,Austria,2020-04-01,Red Cross FOIA,AT0134,,Modell Oxylog VE300
Modell Oxylog VE300,,10,11208.645,EUR,unknown,,Austria,2020-04-01,Red Cross FOIA,AT0135,,Modell Oxylog VE300
Modell Oxylog 3000+,,5,11208.645,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0136,,Model Oxylog 3000+
Modell Oxylog 3000+,,5,11208.645,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0137,,Model Oxylog 3000+
Modell SAVINA 300,,5,17598.9429,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0138,,Model SAVINA 300
Modell Oxylog 3000+,,5,11208.645,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0139,,Model Oxylog 3000+
Modell SAVINA 300,,10,17598.9429,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0140,,Model SAVINA 300
FFP2 Masken mit Ventil,FFP2,940,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0141,,FFP2 masks with valve
FFP2 Masken mit Ventil,FFP2,6480,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0142,,FFP2 masks with valve
Modell SAVINA 300,,10,17598.9429,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0143,,Model SAVINA 300
FFP3 Masken mit Ventil,FFP3,7900,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0144,,FFP3 masks with valve
FFP2 Masken mit Ventil,FFP2,940,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0145,,FFP2 masks with valve
FFP2 Masken mit Ventil,FFP2,6480,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0146,,FFP2 masks with valve
FFP3 Masken mit Ventil,FFP3,7900,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0147,,FFP3 masks with valve
FFP2 Masken mit Ventil,FFP2,6480,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0148,,FFP2 masks with valve
FFP2 Masken mit Ventil,FFP2,940,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0149,,FFP2 masks with valve
FFP3 Masken mit Ventil,FFP3,7900,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0150,,FFP3 masks with valve
FFP2 Masken mit Ventil,FFP2,5400,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0151,,FFP2 masks with valve
FFP2 Masken mit Ventil,FFP2,6480,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0152,,FFP2 masks with valve
FFP3 Masken mit Ventil,FFP3,4540,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0153,,FFP3 masks with valve
FFP2 Masken mit Ventil,FFP2,5400,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0154,,FFP2 masks with valve
FFP2 Masken mit Ventil,FFP2,6480,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0155,,FFP2 masks with valve
FFP3 Masken mit Ventil,FFP3,9920,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0156,,FFP3 masks with valve
FFP2 Masken mit Ventil,FFP2,4300,2.7202,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0157,,FFP2 masks with valve
FFP2 Masken mit Ventil,FFP2,6480,2.91305,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0158,,FFP2 masks with valve
FFP3 Masken mit Ventil,FFP3,3440,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0159,,FFP3 masks with valve
FFP3 Masken mit Ventil,FFP3,8840,5.7855,EUR,unknown,,Austria,2020-03-13,Red Cross FOIA,AT0160,,FFP3 masks with valve
Überschuhe CPE weiss,,40000,0.08,EUR,unknown,,Austria,2020-03-22,Red Cross FOIA,AT0161,,Overshoes CPE white
FFP2 Masken ohne Ventil 3 Stück/Packung,FFP2,1296,2.01985,EUR,unknown,,Austria,2020-03-19,Red Cross FOIA,AT0162,,FFP2 masks without valve 3 pieces / pack
FFP2 Masken mit Ventil 3 Stück/Packung,FFP2,7200,2.32435,EUR,unknown,,Austria,2020-03-19,Red Cross FOIA,AT0163,,FFP2 masks with valve 3 pieces / pack
FFP3 Masken mit Ventil 3 Stück/Packung,FFP3,432,4.04985,EUR,unknown,,Austria,2020-03-19,Red Cross FOIA,AT0164,,FFP3 masks with valve 3 pieces / pack
VorProtect Schutzmaske mit CPA,,80000,8.932,EUR,unknown,,Austria,2020-04-12,Red Cross FOIA,AT0165,,VorProtect protective mask with CPA
VorProtect Schutzmaske mit CPA,,80000,8.932,EUR,unknown,,Austria,2020-04-12,Red Cross FOIA,AT0166,,VorProtect protective mask with CPA
VorProtect Schutzmaske mit CPA,,80000,8.932,EUR,unknown,,Austria,2020-04-12,Red Cross FOIA,AT0167,,VorProtect protective mask with CPA
VorProtect Schutzmaske mit CPA,,80000,8.932,EUR,unknown,,Austria,2020-04-12,Red Cross FOIA,AT0168,,VorProtect protective mask with CPA
VorProtect Schutzmaske mit CPA,,80000,8.932,EUR,unknown,,Austria,2020-04-12,Red Cross FOIA,AT0169,,VorProtect protective mask with CPA
Händedesinfektion Sterillium® med 500ml,Hand sanitizer,2000,5.5825,EUR,unknown,,Austria,2020-03-26,Red Cross FOIA,AT0170,,Hand disinfection Sterillium® med 500ml
Händedesinfektion Sterillium Classic pure 1000ml,Hand sanitizer,1000,4.8517,EUR,unknown,,Austria,2020-03-30,Red Cross FOIA,AT0171,,Hand disinfection Sterillium Classic pure 1000ml
Händedesinfektion Sterillium Classic pure 1000ml,Hand sanitizer,1000,4.8517,EUR,unknown,,Austria,2020-03-30,Red Cross FOIA,AT0172,,Hand disinfection Sterillium Classic pure 1000ml
"Händedesinfektion Sterillium 500ml, 6 Stück / Karton",Hand sanitizer,735,5.7652,EUR,unknown,,Austria,2020-03-30,Red Cross FOIA,AT0173,,"Hand disinfection Sterillium 500ml, 6 pieces / box"
"Händedesinfektion Sterillium A 500ml, 20 Stück / Karton",Hand sanitizer,1000,4.3036,EUR,unknown,,Austria,2020-03-30,Red Cross FOIA,AT0174,,"Hand disinfection Sterillium A 500ml, 20 pieces / box"
"Händedesinfektion Sterillium classic pure 500ml, 6 Stück / Karton",Hand sanitizer,999,4.3036,EUR,unknown,,Austria,2020-03-30,Red Cross FOIA,AT0175,,"Hand disinfection Sterillium classic pure 500ml, 6 pieces / box"
Händedesinfektion Sterillium Classic pure 500ml,Hand sanitizer,1000,4.3036,EUR,unknown,,Austria,2020-04-03,Red Cross FOIA,AT0176,,Hand disinfection Sterillium Classic pure 500ml
Händedesinfektion Sterillium Classic pure 1000ml,Hand sanitizer,1000,4.8517,EUR,unknown,,Austria,2020-04-03,Red Cross FOIA,AT0177,,Hand disinfection Sterillium Classic pure 1000ml
Finger Pulsoximeter,,15000,17.255,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0178,,Finger Pulse Oximeter
Finger Pulsoximeter,,15000,17.255,EUR,unknown,,Austria,2020-03-23,Red Cross FOIA,AT0179,,Finger Pulse Oximeter
Flächendesinfektionstücher Maxi Wipes,,70,,EUR,unknown,,Austria,2020-03-17,Red Cross FOIA,AT0180,"Beutel', total price EUR 1242.6645",Surface disinfectant wipes Maxi Wipes
Flächendesinfektionstücher Tissues,,240,,EUR,unknown,,Austria,2020-03-17,Red Cross FOIA,AT0181,"Dosen', total price EUR 1120.56",Surface disinfectant tissues
Flächendesinfektionsmittel 1000 ml,,200,3.25815,EUR,unknown,,Austria,2020-03-17,Red Cross FOIA,AT0182,,Surface disinfectant 1000 ml
Untersuchungshandschuhe steril,,427200,0.66,EUR,unknown,,Austria,2020-03-17,Red Cross FOIA,AT0183,,Examination gloves sterile
